Ratings,PMID        Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,30548773	Impact of erythrocytapheresis on natural anticoagulant levels in children with sickle cell disease: A pilot study. Venous thromboembolism (VTE) is being increasingly recognized in children with sickle cell disease (SCD). In a retrospective cohort study,we identified bilateral central venous catheter (CVC) placement as an independent risk factor for VTE. At our institution,the only indication for bilateral CVC placement in children with SCD is erythrocytapheresis. To investigate the impact of erythrocytapheresis on coagulation,we measured levels of natural anticoagulants in 11 patients with SCD on chronic erythrocytapheresis,immediately before and after apheresis. We demonstrated a statistically significant reduction in most parameters. Additional studies are needed to further investigate the exact etiology and clinical impact of this acute decrease.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,33097032	Characterization of HIV risks in a Brazilian sickle cell disease population. BACKGROUND: A low prevalence of HIV in sickle cell disease (SCD) patients has been reported in the literature though mechanisms for this are not understood. METHODS: HIV risk behaviors were compared between SCD cases and non-SCD controls using a self-administered audio computer-assisted self-interview. SCD cases were recruited from a multi-center SCD cohort established in Brazil; controls were recruited from SCD social contacts. Categorical variables were analyzed using Chi-Square or Fisher exact test. Continuous variables were compared using the Mann-Whitney U test. RESULTS: There were 152 SCD cases and 154 age/location matched controls enrolled at three participating Brazilian centers during 2016-17. No significant differences in number of sexual partners (lifetime or previous 12 months),male-to-male sex partners or intravenous drug use were observed. Cases received more transfusions,surgeries,and acupuncture treatment. CONCLUSIONS: Besides the risk of transfusion-transmitted HIV,which is now exceedingly rare,SCD and non-SCD participants demonstrated similar HIV risk behaviors. Causes other than risk behaviors such as factors inherent to SCD pathophysiology may explain the reported low prevalence of HIV in SCD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,32034210	Epidemiology and Predictors of all-cause 30-Day readmission in patients with sickle cell crisis. The 30-day readmission rate after hospitalization for a sickle cell crisis (SCC) is extremely high. Accurate information on readmission diagnoses,total readmission costs and factors associated with readmission is required to effectively plan resource allocation and to plan interventions to reduce readmission rates. The present study aimed to examine readmission diagnoses and factors associated with all-cause 30-day readmission after hospitalization for SCC. We analyzed 2016 nationwide readmission database (NRD) to identify patterns of 30-day readmission by patient demographic characteristics and time after hospitalization for SCC. We estimated the percentage and most common readmission diagnoses for 30-day and 7-day readmissions after discharge. We studied the relationship between risk factors and readmission and the impact of readmission on patient outcomes and resulting financial burden on health care in dollars. In 2016,of 67,887 discharges after index hospitalizations,18099 (26.9%) were readmitted within 30-days. Of all readmissions,5166 (7.6%) were readmitted within 7 days. The spectrum of readmission diagnoses was largely similar in both 30-day and 7-day readmission with more than 80% patients in both time periods readmitted with diagnoses related to SCC. The mean length of stay for readmitted patients was significantly longer than the index hospitalization (5.3 days (5.1-5.5) vs 4.9 days (CI 4.8-5.1,p < 0.01). Also,the mean cost of hospitalization in readmitted patients $8485 was significantly higher than the index hospitalization $8064 p < 0.01. In 2016,readmission among patients with SCC incurred an additional 95,445 hospitalization days resulting a total charge of $609 million and a total cost of $152 million in the US. On Multivariate analysis,age group 18-30 years,discharge against medical advice,higher Charlson comorbidity index,low socioeconomic status and admission at high volume centers were associated with a higher likelihood of 30-day readmission. Among patients hospitalized for SCC,30-day readmissions were frequent throughout the month post hospitalization and resulted in an enormous financial burden on the United States healthcare system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,29048550	Altered Neurophysiological Processing of Auditory Attention in Preschool Children With Sickle Cell Disease. Objective: Sickle cell disease (SCD) is a genetic red blood cell disorder that often leads to stroke and executive dysfunction in school-age children and adults. This study aimed to characterize the development of the neural correlates of selective attention,an early component of executive function,in preschool children with SCD. Methods: Auditory event-related potentials (ERPs) were recorded while children attended to a story stream in one ear and ignored a second story in the other ear interchangeably. In total,12 patients (mean age = 5.5,7 males) and 22 typically developing children (mean age = 4.4,10 males) were included in the final analyses. Results: By 100 ms,more positive ERP amplitudes were observed for attended relative to unattended stimuli in typically developing children but not those with SCD,suggesting deficits in the ability to focus attention. Reduced attention effects were associated with lower performance intellectual quotient. Conclusion: There are deficits in early attention modulation in young children with SCD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,35836008	Phenotypes of sickle cell intensive care admissions: an unsupervised machine learning approach in a single-center retrospective cohort. Sickle cell disease (SCD) is associated with multiple known complications and increased mortality. This study aims to further understand the profile of intensive care unit (ICU) admissions of SCD patients. In this single-center retrospective cohort (approval number 0926-11),we evaluated SCD-related ICU admissions at our hospital in Sao Paulo,Brazil. Admissions were clustered using clinical data and organ dysfunction at ICU admission. A hierarchical clustering method was used to distinguish phenotypes. From 140 admissions obtained,125 were included. The mean age was 30 years,48% were male,and SS genotype was predominant (71.2%). Non-surgical causes of admissions accounted for 85.6% (n = 107). The mean Sequential Organ Failure Assessment score (SOFA) was 4 (IQR 2-7). Vasopressors were required by 12% and mechanical ventilation by 17.6%. After analysis of the average silhouette width,the optimal number of clusters was 3: cluster 1 (n = 69),cluster 2 (n = 25),cluster 3 (n = 31). Cluster 1 had a mean age of 29 years,87% of SS genotype,and mean SOFA of 4. Cluster 2 had a mean age of 37 years,80% of SS genotype,and mean SOFA of 8. Cluster 3 had a mean age of 26 years,29% of SS genotype,and mean SOFA of 3. The need for mechanical ventilation was 11.6%,$0.44,and 9.7%,respectively. Mortality was significantly higher in cluster 2 (44%,p = 0.012). This cohort of critical SCD admissions suggested the presence of three different profiles. This can be informative in the ICU setting to identify SCD patients at higher risk of worse outcomes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,35456398	Vignette-Based Reflections to Inform Genetic Testing Policies in Living Kidney Donors. Family history of kidney disease increases risk of end-stage kidney disease (ESKD) in donors. Pre-donation genetic testing is recommended in evaluation guidelines and regulatory policy. Collaborating across several institutions,we describe cases to illustrate the utility as well as practical issues in incorporating genetic testing in transplant protocols. Case 1 is from 2009,before pervasive genetic testing. A healthy 27-year-old Caucasian male had an uneventful donor evaluation for his mother,who had early onset ESKD of unclear cause. He participated in paired-exchange kidney donation,but developed progressive kidney disease and gout over the next 10 years. A uromodulin gene mutation (NM_003361.3(UMOD):c.377 G>A p.C126Y) was detected and kidney biopsy showed tubulointerstitial kidney disease. The patient subsequently required kidney transplantation himself. Case 2 was a 36-year-old African American female who had an uneventful kidney donor evaluation. She underwent gene panel-based testing to rule out ApolipoproteinL1 risk variants,for which was negative. Incidentally,a sickle-cell trait (NM_000518.5(HBB):c.20A>T p.Glu7Val) was noted,and she was declined for kidney donation. This led to significant patient anguish. Case 3 was a 26-year-old Caucasian female who underwent panel-based testing because the potential recipient,her cousin,carried a variant of uncertain significance in the hepatocyte nuclear factor-1-beta (HNF1B) gene. While the potential donor did not harbor this variant,she was found to have a likely pathogenic variant in complement factor I (NM_000204.4(CFI):c.1311dup:p.Asp438Argfs*8),precluding kidney donation. Our cases emphasize that while genetic testing can be invaluable in donor evaluation,transplant centers should utilize detailed informed consent,develop care pathways for secondary genetic findings,and share experience to develop best practices around genetic testing in donors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,35059711	Standardizing Opioid Prescribing in a Pediatric Hospital: A Quality Improvement Effort. BACKGROUND: Opioids are indicated for moderate-to-severe pain caused by trauma,ischemia,surgery,cancer and sickle cell disease,and vaso-occlusive episodes (SCD-VOC). There is only limited evidence regarding the appropriate number of doses to prescribe for specific indications. Therefore,we developed and implemented an opioid prescribing algorithm with dosing guidelines for specific procedures and conditions. We aimed to reach and sustain 90% compliance within 1 year of implementation. METHODS: We conducted this quality improvement effort at a pediatric academic quaternary care institution. In 2018,a multidisciplinary team identified the need for a standard approach to opioid prescribing. The algorithm guides prescribers to evaluate the medical history,physical examination,red flags,pain type,and to initiate opioid-sparing interventions before prescribing opioids. Opioid prescriptions written between January 2015 and September 2020 were included. Examples from 2 hospital departments will be highlighted. Control charts for compliance with guidelines and variability in the doses prescribed are presented for selected procedures and conditions. RESULTS: Over 5 years,83 037 opioid prescriptions in 53 804 unique patients were entered electronically. The encounters with >=1 opioid prescription decreased from 48% to 25% between 2015 and 2019. Compliance with the specific guidelines increased to ~85% for periacetabular osteotomies and SCD-VOC and close to 100% for anterior-cruciate ligament surgery. In all 3 procedures and conditions,variability in the number of doses prescribed decreased significantly. CONCLUSION: We developed an algorithm,guidelines,and a process for improvement. The number of opioid prescriptions and variability in opioid prescribing decreased. Future evaluation of specific initiatives within departments is needed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,31107563	A justice-based argument for including sickle cell disease in CRISPR/Cas9 clinical research. CRISPR/Cas9 is quickly becoming one of the most influential biotechnologies of the last five years. Clinical trials will soon be underway to test whether CRISPR/Cas9 can edit away the genetic mutations that cause sickle cell disease (SCD). This article will present the background of CRISPR/Cas9 gene editing and SCD,highlighting research that supports the application of CRISPR/Cas9 to SCD. While much has been written on why SCD is a good biological candidate for CRISPR/Cas9,less has been written on the ethical implications of including SCD in CRISPR/Cas9 research. This article will argue that there is a strong case in favor of including SCD. Three benefits are achieving distributive justice in research,continuing to repair the negative relationship between patients with SCD and the health-care system,and benefit-sharing for those who do not directly participate in CRISPR/Cas9 research. Opponents will argue that SCD is a risky candidate,that researchers will not find willing participants,and that the burden of SCD is low. Of this set of arguments,the first gives pause. However,on balance,the case in favor of including SCD in CRISPR/Cas9 research is stronger than the case against. Ultimately,this article will show that the historic and sociopolitical injustices that impede progress in treating and curing SCD can be alleviated through biotechnology.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,35917483	Meteorological parameters and hospitalizations of patients with sickle cell anemia: a 20-year retrospective study in Campinas,Sao Paulo,Brazil. To investigate the influence of climate on hospitalizations of sickle cell anemia (SCA) adults and children,we analyzed the health and meteorological parameters from a metropolis (1999-2018). 1462 hospitalizations were coded for SCA patients in crisis (M:F = 715:747) and 1354 hospitalizations for SCA patients without crisis (M:F = 698:656) [age = 22.9 vs 15.2 years and duration of hospitalization (DoH) = 5.7 vs 4.4 days,respectively,]. More hospitalizations were for adults than children in crisis,and for children than adults without crisis. More children and adults were hospitalized in winter andspring than in summer and autumn     Hospitalizations correlated positively with humidity (lag -5),maximum pressure (lag -2),mean pressure (lag -2),and thermal amplitude (lag -2),and negatively with maximum temperature (lag -3). DoH positively correlated with minimum temperature (lag -4). Understanding these complex associations would induce attitudinal/behavioral modifications among patients and their caregivers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,37391656	Sickle Cell Crises in Pregnancy: Fetal and Neonatal Implications. Sickle cell disease (SCD) is the most common inherited condition worldwide. In the United States,SCD affects 100,000 births every year,mostly persons of African descent. In SCD,red blood cells assume a sickle shape when deoxygenated. This leads to the occlusion of small blood vessels and decreased oxygenated blood flow,resulting in ischemic and thrombotic injury to various organs,which further leads to organ dysfunction. In pregnancy,patients with SCD are at an increased risk of vaso-occlusive crises,which further increases the risks of maternal,fetal,and neonatal morbidity and mortality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,28060121	The Sickle beta-Thalassemia Phenotype. Sbeta-thalassemia (Sbeta-thal) is common among Gulf Arab patients with sickle cell disease,but the phenotype of this group had not been well-documented. We have studied a group of Kuwaiti patients and compared the phenotype in the homozygotes (SS) and Sbeta-thal patients. Complete blood count,hemoglobin quantitation,serum bilirubin,and lactate dehydrogenase were determined with standard techniques. The patients were screened for alpha-globin genotype. The Sbeta-thal patients were also screened for the HBG2 Xmn-1 polymorphism. beta-Thal mutations were determined by arrayed primer extension or direct sequencing. There were 70 SS and 32 Sbeta-thal patients with mean ages of 14.8+-5.9 and 14.2+-5.9 years,respectively. The Sbeta-thal patients had more frequent,severe pain episodes per year compared with the SS,while the patterns among Sbeta-thal and Sbeta-thal patients were not significantly different. There were no differences in the frequencies of acute chest syndrome,gallstones,and blood transfusion in the SS and Sbeta-thal patients. However,none of the Sbeta-thal patients had been transfused. Among the Sbeta-thal patients,25 had beta-thal and 7 had beta-thal mutations,the most common being cd39 (C T) and IVS-I-110 (G A),respectively. Sbeta-thal shows a severe phenotype in Kuwait,even among those with Sbeta-thal,in whom the IVS-I-110 (G A) mutation is predominant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,36310401	Hypoxic storage of donor red cells preserves deformability after exposure to plasma from adults with sickle cell disease. BACKGROUND: Red cell (RBC) transfusions are beneficial for patients with sickle cell disease (SCD),but ex vivo studies suggest that inflamed plasma from patients with SCD during crises may damage these RBCs,diminishing their potential efficacy. The hypoxic storage of RBCs may improve transfusion efficacy by minimizing the storage lesion. We tested the hypotheses that (1) The donor RBCs exposed to the plasma of patients in crisis would have lower deformability and higher hemolysis than those exposed to non-crisis plasma,and (2) hypoxic storage,compared to standard storage,of donor RBCs could preserve deformability and reduce hemolysis. STUDY DESIGN AND METHODS: 18 SCD plasma samples from patients who had severe acute-phase symptoms (A-plasma; n = 9) or were at a steady-state (S = plasma; n = 9) were incubated with 16 RBC samples from eight units that were stored either under conventional(CRBC) or hypoxic(HRBC) conditions. Hemolysis and microcapillary deformability assays of these RBCs were analyzed using linear mixed-effect models after each sample was incubated in patient plasma overnight at 37 C RESULTS: Relative deformability was 0.036 higher (p < 0.0001) in HRBC pairs compared to CRBC pairs regardless of plasma type. Mean donor RBC hemolysis was 0.33% higher after incubation with A-plasma compared to S-plasma either with HRBC or CRBC (p = 0.04). HRBCs incubated with steady-state patient plasma demonstrated the highest deformability and lowest hemolysis. CONCLUSION: Hypoxic storage significantly influenced RBC deformability. Patient condition significantly influenced post-incubation hemolysis. Together,HRBCs in steady-state plasma maximized donor red cell ex vivo function and survival.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,28836806	The Kennedy Krieger Independence Scales-Sickle Cell Disease: Executive components of transition readiness. PURPOSE/OBJECTIVE: Youth with sickle cell disease (SCD) are at an increased risk for executive dysfunction and simultaneously have increased self-management needs compared to typical adolescents. This unique combination may contribute,in part,to difficulties during transition to young adulthood. Current measures assessing adaptive skills do not assess the executive components (e.g.,initiation,prospective memory) of SCD-related self-care tasks. Modeled on the KKIS-Spina Bifida (Jacobson et al.,2013),the Kennedy Krieger Independence Scales-Sickle Cell Disease (KKIS-SCD) is a new caregiver-report measure that assesses independence with self-management of SCD-specific demands as well as routine daily activities in adolescents with SCD. Research Method/Design: Thirty-three youth with SCD and their caregivers participated in this preliminary validation study examining the construct validity of the KKIS-SCD total and composite scores (Initiation of Routines,Prospective Memory) and exploring relationships of this measure with intellectual functioning,demographic factors,illness severity,and age. RESULTS: The KKIS-SCD exhibited generally good internal consistency (Cronbach's alpha = .733 to .803),and demonstrated evidence for construct and discriminant validity when compared to an existing measure of adaptive function. The KKIS-SCD was significantly associated with caregiver-report of executive behaviors but not with intellectual functioning,demographic factors,illness severity,or age. CONCLUSIONS/IMPLICATIONS: Results provide preliminary support for the KKIS-SCD as a reliable and valid tool for the assessment of executive components of self-care management skills for youth with SCD. Identifying specific weaknesses in executive function related to self-care management skills might assist in guiding intervention and individualizing transition planning in these at-risk youth. (PsycINFO Database Record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,30658602	Risk factors for recurrent severe anemia among previously transfused children in Uganda: an age-matched case-control study. BACKGROUND: In resource-poor settings,transfused children often experience recurrence of severe anemia (SA) following discharge from hospital. This study determined the factors associated with recurrent severe anemia (RSA) among previously transfused Ugandan children aged less than 5 years. METHODS: A case-control study was conducted in five hospitals in Uganda from March 2017 to September 2018. We prospectively enrolled 196 hospitalised children who had been transfused for severe anemia 2 weeks to 6 months prior to enrollment. Of these,101 children (cases) were re-admitted with a hemoglobin [Hb] level of <=6 g/dL and required transfusion; and 95 children (age-matched controls) were admitted for other clinical illness with a Hb > 6 g/dL. Children known to have sickle cell anemia,cancer,or bleeding disorders were excluded. Clinical and laboratory evaluation were done. Conditional logistic regression adjusted for age,was used to determine factors associated with RSA. RESULTS: The median time (IQR) between the earlier transfusion and enrollment was 3.5 (1.9-5.7) months for cases,and was 5.0 (2.9-6.0) months for controls (p-value = 0.015). Risk factors (adjusted odds ratio,95% confidence interval,and significance) for development of RSA were: hemoglobinuria (36.33,2.19-600.66,p = 0.012); sickle cell anemia - newly diagnosed (20.26,2.33-176.37,p = 0.006); history of earlier previous transfusions (6.95,1.36-35.61,p = 0.020) and malaria infection (6.47,1.17-35.70,p = 0.032). CONCLUSION: Malaria chemoprevention,follow up visit for Hb check after discharge from hospital and sickle cell screening among previously transfused children represent practical strategies to prevent and identify children at risk for recurrent severe anemia. The cause of hemoglobinuria in children merits further investigations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,"38718133	""Nothing about us without us: Advocacy and engagement in genetic medicine. The development of new genetic medicines to treat sickle cell disease highlights the need for greater collaboration between researchers and people with lived experiences. Drawing on the adage """"Nothing about us",without us," we call for increased investments in community advocacy and engagement.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,36485154	No crystal stair: supporting fertility care and the pursuit of pregnancy in women with sickle cell disease. Growing recognition that the ovary is an end organ in sickle cell disease (SCD),advances in SCD treatment and cure,and innovations in assisted reproductive technologies invite progressive challenges in fertility care for women with SCD. The reproductive life span of women with SCD may be reduced because ovarian reserve declines more rapidly in people with SCD compared to unaffected people. Some young women have diminished ovarian reserve,a risk factor for infertility. Referrals for fertility preservation may be offered and anticipatory guidance about when to seek infertility care provided. For a subset of people with SCD,this information is also applicable when pursuing in vitro fertilization with preimplantation genetic testing to avoid implantation of an embryo with SCD. Here we explore the dimensions of SCD-related fertility care illustrated by the case of a 28-year-old woman with hemoglobin SS disease who initially presented for a hematology consultation for preconception counseling. This case highlights the complexity of preconception SCD management and care and the need to partner with patients to help align pregnancy hopes with SCD treatment and the many associated uncertainties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,31634463	Dysregulated NO/PDE5 signaling in the sickle cell mouse lower urinary tract: Reversal by oral nitrate therapy. AIMS: Nitric oxide (NO) has a critical,but not well understood,influence in the physiology of the lower urinary tract. We evaluated the effect of NO/phosphodiesterase (PDE)5 signaling in voiding dysfunction in the sickle cell disease (SCD) mouse,characterized by low NO bioavailability. MAIN METHODS: Adult SCD (Sickle) and wild-type (WT) male mice were treated daily with sodium nitrate (10 mM) or vehicle. After 18 days,blood was obtained for nitrite measurement,urethra was collected for organ bath study,and bladder and urethra were collected for Western blot analysis of PDE5 phosphorylation (Ser-92) (activated form). Non-anesthetized mice underwent evaluation of urine volume by void spot assay. eNOS phosphorylation (Ser-1177) and nNOS phosphorylation (Ser-1412) (positive regulatory sites) were evaluated in the bladder and urethra of untreated mice. KEY FINDINGS: Sickle mice exhibited decreased eNOS,nNOS,and PDE5 phosphorylation in the bladder and urethra,decreased plasma nitrite levels,increased relaxation of phenylephrine-contracted urethral tissue to an NO donor sodium nitroprusside,and increased total urine volume,compared with WT mice. Nitrate treatment normalized plasma nitrite levels,relaxation of urethra to sodium nitroprusside,PDE5 phosphorylation in the urethra and bladder,and urine volume in Sickle mice. SIGNIFICANCE: Derangement in PDE5 activity associated with basally low NO bioavailability in the bladder and urethra contributes to the molecular basis for voiding abnormalities in Sickle mice. Inorganic nitrate supplementation normalized voiding in Sickle mice through mechanisms likely involving upregulation of PDE5 activity. These findings suggest that interventions targeting dysregulatory NO/PDE5 signaling may ameliorate overactive bladder in SCD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,37340519	Indian sickle cell disease registry for surveillance and patient management: Development and implementation. In India,sickle cell disease (SCD) predominantly occurs in indigenous (tribal) people,who are about 104 million. However,screening and diagnosis seldom happen. This situation necessitates developing a comprehensive SCD care model,including a registry. This paper describes the development and implementation of the Indian SCD registry (ISCDR) in six tribal-dominated districts of India. The ISCDR was created in two components-(i) an Android-based mobile/tablet application,(ii) a dashboard/admin panel for patients' data management and retrieval. Data capture involves two electronic case report forms (CRF),that is,the primary form (CRF-1) and the repeat visit form (CRF-2). CRF-1 is completed as soon as the patient is found positive and captures the patient's information,including medical history,diagnosis,symptoms,precipitating factors,hospitalisation history and treatment received. Issues related to quality,security and data-sharing were addressed. After the screening system was functional,ISCDR was initiated. In 12 months,data of 324 SCD patients and 1771 carriers were entered. The study demonstrates the feasibility of establishing an SCD registry in India. It collects systematic longitudinal data on SCD patients,which are essential for programme planning and management. Further,it is feasible to scale up and integrate with other health management databases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,35360062	Testicular Tissue Banking for Fertility Preservation in Young Boys: Which Patients Should Be Included? Due to the growing number of young patients at risk of germ cell loss,there is a need to preserve spermatogonial stem cells for patients who are not able to bank spermatozoa. Worldwide,more and more clinics are implementing testicular tissue (TT) banking programs,making it a novel,yet indispensable,discipline in the field of fertility preservation. Previously,TT cryopreservation was predominantly offered to young cancer patients before starting gonadotoxic chemo- or radiotherapy. Nowadays,most centers also bank TT from patients with non-malignant conditions who need gonadotoxic conditioning therapy prior to hematopoietic stem cell (HSCT) or bone marrow transplantation (BMT). Additionally,some centers include patients who suffer from genetic or developmental disorders associated with prepubertal germ cell loss or patients who already had a previous round of chemo- or radiotherapy. It is important to note that the surgical removal of TT is an invasive procedure. Moreover,TT cryopreservation is still considered experimental as restoration methods are not yet clinically available. For this reason,TT banking should preferably only be offered to patients who are at significant risk of becoming infertile. In our view,TT cryopreservation is recommended for young cancer patients in need of high-risk chemo- and/or radiotherapy,regardless of previous low-risk treatment. Likewise,TT banking is advised for patients with non-malignant disorders such as sickle cell disease,beta-thalassemia,and bone marrow failure,who need high-risk conditioning therapy before HSCT/BMT. TT retrieval during orchidopexy is also proposed for patients with bilateral cryptorchidism. Since patients with a medium- to low-risk treatment generally maintain their fertility,TT banking is not advised for this group. Also for Klinefelter patients,TT banking is not recommended as it does not give better outcomes than a testicular sperm extraction later in life.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,30656488	Renal Medullary Carcinoma: a Report of the Current Literature. PURPOSE OF THE REVIEW: We present an updated report of renal medullary carcinoma (RMC),a rare and aggressive condition. RECENT FINDINGS: There is a majority of male patients,of African descent,in the second or third decade of life. In differential diagnosis,other tumors,such as malignant rhabdoid tumor (MRT),vinculin-anaplastic lymphoma kinase (VCL-ALK) translocation renal cell carcinoma,and collecting duct carcinoma,may present difficulties. Abnormalities of tumor suppressor gene SMARCB1 have been found in RMC. Reported symptoms were hematuria,pain,weight loss,respiratory distress,palpable mass,cough,and fever. Most patients present with metastases at diagnosis. There is no definite recommended treatment,and protocols are extrapolated from other malignancies,with nephrectomy and systemic therapies being most frequently used. Response to treatment and prognosis remain very poor. RMC is a rare and aggressive tumor. Definitive diagnosis requires histological assessment and the presence of sickle-cell hemoglobinopathies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,32394268	Acute care utilization in pediatric sickle cell disease and sickle cell trait in the USA: prevalence,temporal trends,and cost. The objective of this study was to analyze acute care utilization of sickle cell disease (SCD) and sickle cell trait (SCT) in children and identify trends in emergency department (ED) visits and inpatient admissions over a 10-year period. This is a retrospective population-based study of SCD- and SCT-related ED visits and admissions from 2006 to 2015. Data were acquired from the Healthcare Cost and Utilization Project (HCUP),National Inpatient Sample (NIS),and National Emergency Department Sample (NEDS) database. Cost-to-charge and estimated professional fee ratios were applied to approximate costs. Over 80% of medical expenditure on HbSS is through ED-based admissions. There is a statistically significant increase from 2006 to 2015 in the direct hospital admissions associated with patients less than 18 years of age who have been diagnosed with SCT.Conclusion: Among patients less than 18 years of age with HbSS,inpatient admissions through the emergency department accounted for the largest medical expenditure of the SCD subtypes. What is Known:   There are currently no multi-year,nationwide analyses of acute care utilization in sickle cell disease and sickle cell trait (SCT) in the pediatric population.   SCT is more common than SCD,affecting 1.5% of all infants born in the USA. What is New:   Comprehensive annual costs of acute care utilization of patients less than 18 years of age with SCD and SCT in the USA which includes aggregated demographical patient care data and to illustrate temporal trends of acute care utilization in children less than 18 years of age with SCD and SCT   Among patients less than 18 years of age with HbSS,inpatient admissions through the emergency department accounted for the largest medical expenditure of the sickle cell disease subtypes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,35087158	Machine learning-based approaches for identifying human blood cells harboring CRISPR-mediated fetal chromatin domain ablations. Two common hemoglobinopathies,sickle cell disease (SCD) and beta-thalassemia,arise from genetic mutations within the beta-globin gene. In this work,we identified a 500-bp motif (Fetal Chromatin Domain,FCD) upstream of human Upsilon-globin locus and showed that the removal of this motif using CRISPR technology reactivates the expression of Upsilon-globin. Next,we present two different cell morphology-based machine learning approaches that can be used identify human blood cells (KU-812) that harbor CRISPR-mediated FCD genetic modifications. Three candidate models from the first approach,which uses multilayer perceptron algorithm (MLP 20-26,MLP26-18,and MLP 30-26) and flow cytometry-derived cellular data,yielded 0.83 precision,0.80 recall,0.82 accuracy,and 0.90 area under the ROC (receiver operating characteristic) curve when predicting the edited cells. In comparison,the candidate model from the second approach,which uses deep learning (T2D5) and DIC microscopy-derived imaging data,performed with less accuracy (0.80) and ROC AUC (0.87). We envision that equivalent machine learning-based models can complement currently available genotyping protocols for specific genetic modifications which result in morphological changes in human cells.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
